name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
Kingston HyperX Fury 32 GB,,"4,2133","4,8",,Black / Silver,13.127,14.0,DDR4,2133,4,8,32
Corsair ValueSelect 8 GB,,"3,1600","1,8",,Black / Green,13.75,11.0,DDR3,1600,1,8,8
Corsair Vengeance LPX 16 GB,,"4,2400","2,8",,Red,11.667,14.0,DDR4,2400,2,8,16
G.Skill Ripjaws V 8 GB,,"4,2133","2,4",,Black / Red,14.065,15.0,DDR4,2133,2,4,8
G.Skill Ripjaws V 8 GB,,"4,2666","2,4",,Black / Red,11.253,15.0,DDR4,2666,2,4,8
Kingston HyperX Fury 4 GB,,"4,2400","1,4",,Black / White,12.5,15.0,DDR4,2400,1,4,4
Corsair Vengeance LPX 32 GB,,"4,2666","2,16",,Red,12.003,16.0,DDR4,2666,2,16,32
G.Skill Ripjaws V 16 GB,,"4,3000","2,8",,Silver,10.0,15.0,DDR4,3000,2,8,16
Corsair Vengeance LPX 16 GB,,"4,3000","1,16",,Black / Yellow,10.0,15.0,DDR4,3000,1,16,16
Corsair Vengeance LPX 4 GB,31.03,"4,2400","1,4",7.7575,Black / Yellow,13.333,16.0,DDR4,2400,1,4,4
Crucial CT4K8G4DFS8266 32 GB,129.99,"4,2666","4,8",4.0621875,Green,14.254,19.0,DDR4,2666,4,8,32
ADATA XPG SPECTRIX D40 16 GB,,"4,3200","2,8",,Red,10.0,16.0,DDR4,3200,2,8,16
Patriot Viper Elite 32 GB,,"4,2666","2,16",,Silver / Black,12.003,16.0,DDR4,2666,2,16,32
Corsair Vengeance RGB Pro 16 GB,,"4,4700","2,8",,Black,8.085,19.0,DDR4,4700,2,8,16
Corsair Vengeance RGB Pro 32 GB,,"4,2666","2,16",,White,12.003,16.0,DDR4,2666,2,16,32
Corsair Vengeance RGB Pro 64 GB,589.1,"4,3466","4,16",9.2046875,Black,9.233,16.0,DDR4,3466,4,16,64
Crucial Ballistix Sport LT 8 GB,,"4,3000","1,8",,Silver / Black,10.0,15.0,DDR4,3000,1,8,8
Crucial Ballistix Sport LT 32 GB,,"4,3200","2,16",,Red / Black,10.0,16.0,DDR4,3200,2,16,32
