name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
Kingston Server Premier 16 GB,89.99,"4,3200","1,16",5.624375,Unknown,13.75,22.0,DDR4,3200,1,16,16
G.Skill Ripjaws 16 GB,39.0,"3,1866","2,8",2.4375,Unknown,11.79,11.0,DDR3,1866,2,8,16
Mushkin Essentials 16 GB,36.36,"4,2400","2,8",2.2725,Green / Black,14.167,17.0,DDR4,2400,2,8,16
TEAMGROUP Elite 8 GB,31.78,"4,2666","1,8",3.9725,Black,14.254,19.0,DDR4,2666,1,8,8
Kingston ValueRAM 32 GB,125.0,"4,2666","1,32",3.90625,Unknown,14.254,19.0,DDR4,2666,1,32,32
Mushkin Redline Lumina White 32 GB,140.99,"5,6400","2,16",4.4059375,White,10.0,32.0,DDR5,6400,2,16,32
Mushkin Essentials 8 GB,17.18,"3,1066","1,8",2.1475,Green,13.133,7.0,DDR3,1066,1,8,8
Corsair Vengeance Pro 8 GB,119.2,"3,2133","2,4",14.9,Black / Red,7.501,8.0,DDR3,2133,2,4,8
Samsung M393B2G70DB0-CK0 16 GB,31.92,"3,1600","1,16",1.995,Black / Green,13.75,11.0,DDR3,1600,1,16,16
Kingston ValueRAM 16 GB,29.99,"3,1600","1,16",1.874375,Green,13.75,11.0,DDR3,1600,1,16,16
Mushkin Essentials 16 GB,186.99,"3,1866","1,16",11.686875,Black / Blue,13.934,13.0,DDR3,1866,1,16,16
Kingston ValueRAM 8 GB,27.99,"4,2133","1,8",3.49875,Green / Black,14.065,15.0,DDR4,2133,1,8,8
Corsair Vengeance Performance 16 GB,62.99,"4,2666","1,16",3.936875,Black / Yellow,13.503,18.0,DDR4,2666,1,16,16
Kingston KVR26S19S8/8 8 GB,21.38,"4,2666","1,8",2.6725,Green / Black,14.254,19.0,DDR4,2666,1,8,8
Mushkin Proline 16 GB,45.84,"3,1866","1,16",2.865,Unknown,13.934,13.0,DDR3,1866,1,16,16
Kingston FURY Impact 32 GB,94.95,"5,4800","1,32",2.9671875,Black,15.833,38.0,DDR5,4800,1,32,32
V-Color TRA524G60S832Q 96 GB,671.99,"5,6000","4,24",6.999895833333333,White,10.667,32.0,DDR5,6000,4,24,96
Kingston ValueRAM 3 GB,25.48,"3,1333","3,1",8.493333333333334,Green,13.503,9.0,DDR3,1333,3,1,3
Mushkin 996647 8 GB,22.0,"3,1333","2,4",2.75,Green,13.503,9.0,DDR3,1333,2,4,8
Crucial CT2KIT51264BF1339 8 GB,32.59,"3,1333","2,4",4.07375,Green,13.503,9.0,DDR3,1333,2,4,8
G.Skill F3-10666CL9D-16GBSQ 16 GB,36.4,"3,1333","2,8",2.275,Green,13.503,9.0,DDR3,1333,2,8,16
G.Skill Trident X 16 GB,107.31,"3,2400","4,4",6.706875,Black / Red,8.333,10.0,DDR3,2400,4,4,16
Crucial CT16G3R186DM 16 GB,42.99,"3,1866","1,16",2.686875,Black / Green,13.934,13.0,DDR3,1866,1,16,16
Kingston KVR13N9S6/2 2 GB,19.98,"3,1333","1,2",9.99,Black / Green,13.503,9.0,DDR3,1333,1,2,2
Samsung M393A1G40DB0-CPB 8 GB,28.42,"4,2133","1,8",3.5525,Black / Green,14.065,15.0,DDR4,2133,1,8,8
Kingston KTD-PE421/16G 16 GB,43.99,"4,2133","1,16",2.749375,Green,14.065,15.0,DDR4,2133,1,16,16
